,Datum,Filiale,Weizenbrot,Mischbrot,Vollkornbrot,Stangenbrote,Spezialbrot,Brötchen,Süsse_Brötchen,Herzhafte_Brötchen,KonditoreiBlech,Stückgebäck,Blechkuchen,Weihnachtsartikel,Wochentag,Tag,Jahr,Monat,Gesamt,Wochenende_flag,Season,Closed,Outlier,New_Years_Eve,Feiertag_DE,Holidays_SH,Niederschlag,Sonne_h,Temperatur_max
0,2015-01-02,1,39.9949637926482,152.610943733065,121.28452162577,118.78675724768999,0.0,220.142630348755,181.329659593851,163.713061241768,120.66224401605251,266.254970919905,93.1698641873021,0.0,4,2,2015,1,652.8198167479281,0,4,0,0,0,0,1.0,8.0,0.0,6.2
1,2015-01-02,2,88.02374995976558,84.63319036885541,115.15762109045299,58.999278618245704,66.6876517194407,505.565568778767,235.59744327259102,87.75901322433029,66.3330829881218,249.33119342821098,36.97280092152,113.34309535765499,4,2,2015,1,919.0670605355274,0,4,0,0,0,0,1.0,2.2,0.7,9.5
2,2015-01-02,3,136.21287978034098,60.101108899234,105.532665043349,94.69350269971409,31.7147359485449,417.486330645093,92.2294631768869,84.36315160950629,89.21775713586528,348.957512117041,67.2738115776327,0.0,4,2,2015,1,845.741223016276,0,4,0,0,0,0,1.0,4.2,0.0,5.9
3,2015-01-03,1,60.416962948102295,133.039370956138,93.998562577642,114.927584161553,11.2514182817726,176.63942666132098,127.32378843301001,96.17884767085579,132.0400994986017,220.32508363911703,55.442449286422004,0.0,5,3,2015,1,590.2733255865289,1,4,0,0,0,0,1.0,0.0,4.7,5.8
4,2015-01-03,2,78.2662158926818,77.21342992718091,116.124551914392,54.122405747768795,70.3035159968787,514.381142255829,223.241951868287,86.99190631297009,47.2998560962555,196.438985497569,52.6027660154658,109.207362868062,5,3,2015,1,910.4112617347312,1,4,0,0,0,0,1.0,0.2,0.0,6.1
5,2015-01-03,3,86.61273834705841,56.997327890695104,122.02978847608601,70.57083099235899,28.8775464904988,565.906154246555,113.65205555764999,86.7768032349172,126.642524153911,223.230036129674,50.2759146279662,0.0,5,3,2015,1,930.9943864432523,1,4,0,0,0,0,1.0,0.2,0.0,4.2
6,2015-01-04,2,0.0,89.17200291529329,89.7021330581357,32.8803691261029,0.0,643.952028913357,281.550764521823,76.1099024320428,193.858932831113,231.631498890377,108.559539600133,124.08961270690399,6,4,2015,1,855.7065340128889,1,4,0,0,0,0,1.0,1.3,2.2,7.0
7,2015-01-04,3,0.0,56.24027562690829,103.763695234588,28.0755810050825,36.6195992729887,998.115917782013,247.416366089888,143.844307424865,255.846581142022,371.509104779431,145.089902740752,0.0,6,4,2015,1,1222.8150689215804,1,4,0,0,0,0,1.0,7.5,0.0,7.3
8,2015-01-05,1,72.6168283613026,164.614353904709,120.02256974203999,142.887679185692,38.0839526697554,219.504612933766,161.624336153753,162.823914153578,132.3311673465271,202.09045225317902,89.8480114278417,0.0,0,5,2015,1,757.729996797265,0,4,0,0,0,0,1.0,12.6,0.1,8.4
9,2015-01-05,2,86.40422440921459,69.4285599569848,151.66378948260902,48.803531433566896,0.0,327.701176646787,193.441523523049,108.82598286777001,65.9986779173745,234.394776984308,0.0,102.294044400361,0,5,2015,1,684.0012819291624,0,4,0,0,0,0,1.0,6.0,0.0,11.8
