,Datum,Weizenbrot,Mischbrot,Vollkornbrot,Stangenbrote,Spezialbrot,Brötchen,Süsse_Brötchen,Herzhafte_Brötchen,KonditoreiBlech,Stückgebäck,Blechkuchen,Weihnachtsartikel,Gesamt,Wochentag,Jahr,Monat,Wochenende
0,2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2015,1,Wochentag
1,2015-01-02,39.9949637926482,152.610943733065,121.28452162577,118.78675724768999,0.0,220.142630348755,181.329659593851,163.713061241768,120.66224401605251,266.254970919905,93.1698641873021,0.0,652.8198167479281,4,2015,1,Wochentag
2,2015-01-03,60.416962948102295,133.039370956138,93.998562577642,114.927584161553,11.2514182817726,176.63942666132098,127.32378843301001,96.17884767085579,132.0400994986017,220.32508363911703,55.442449286422004,0.0,590.2733255865289,5,2015,1,Wochenende
3,2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2015,1,Wochenende
4,2015-01-05,72.6168283613026,164.614353904709,120.02256974203999,142.887679185692,38.0839526697554,219.504612933766,161.624336153753,162.823914153578,132.3311673465271,202.09045225317902,89.8480114278417,0.0,757.729996797265,0,2015,1,Wochentag
5,2015-01-06,76.88924181262641,163.811568962271,91.2059529621162,106.282289737009,20.7925992240345,209.55165564387298,145.660515052455,165.204073194422,135.2804991675851,204.838431251996,83.3860478474516,0.0,668.5333083419301,1,2015,1,Wochentag
6,2015-01-07,50.092234807956295,116.482445795682,115.202953374399,114.103171311744,28.091373171027602,239.129203183321,149.097745977045,134.964534018153,125.96715159343901,217.432999512864,77.15485717575041,0.0,663.1013816441299,2,2015,1,Wochentag
7,2015-01-08,51.4812530285596,136.769972517865,103.77261778239401,121.748050991835,-7.11434726480219,190.38864067966801,162.227137965769,115.112848217227,126.4923487473143,209.682288402986,50.3871574341673,0.0,597.0461877355194,3,2015,1,Wochentag
8,2015-01-09,60.879260317066,116.89148543246701,89.00101527421292,116.15096873853001,11.9707035899059,176.407668612369,154.301591143492,117.98244049058998,113.5338258347202,196.434015021963,95.5905782427008,0.0,571.3011019645509,4,2015,1,Wochentag
9,2015-01-10,43.24675309201321,103.921141684603,75.56145950476991,121.511266936289,0.0,158.055967120963,138.33193262620898,101.605059400007,116.2315389338294,185.33142338596198,56.798419110626796,0.0,502.2965883386381,5,2015,1,Wochenende
10,2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2015,1,Wochenende
11,2015-01-12,70.49807855937541,138.087031091909,95.26514391679251,113.264590595097,-4.74126386665868,205.76993053347198,133.947241872108,155.906980090018,112.09873009463969,164.94280693236,64.5793510869579,0.0,618.1435108299872,0,2015,1,Wochentag
12,2015-01-13,50.583444922702704,132.897935722343,118.306049223892,139.56279498890498,21.378477143447398,193.77640432768501,147.179699062335,135.915405705442,92.02583886653001,199.441655901152,40.1384639645725,0.0,656.5051063289751,1,2015,1,Wochentag
13,2015-01-14,68.0716676078901,128.593465345258,93.1056471603595,101.18651665506799,9.50720529119468,237.946419333165,145.808066649571,122.891267412074,115.76123271629109,237.026647406656,78.69195433120609,0.0,638.4109213929353,2,2015,1,Wochentag
14,2015-01-15,53.0252118027279,117.34711231868,83.18882145640491,114.290025604573,7.32716429838824,197.22360161663102,155.406176356756,130.228794891992,110.74542393952859,247.89402416702004,83.07679423678121,0.0,572.401937097405,3,2015,1,Wochentag
15,2015-01-16,65.1981709348717,139.519865541607,121.92760243453999,128.636346621955,29.4869420905447,229.38109226277902,152.758587040766,137.450685066533,99.5550568988793,269.116367859131,100.565319306277,0.0,714.1500198862974,4,2015,1,Wochentag
16,2015-01-17,43.2420277973167,153.222702920486,83.4399790128114,128.310460380149,12.6571862070807,226.882597442379,158.686317891878,133.807114999728,161.5173101251719,241.105921528352,97.4089612549458,0.0,647.7549537602229,5,2015,1,Wochenende
17,2015-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2015,1,Wochenende
18,2015-01-19,89.1894392346957,159.486464218483,126.177177799876,146.155981290994,33.513445784570195,192.73146137973202,134.67728143627198,135.763660304344,72.5157329650223,193.80538949648,64.1235548894599,0.0,747.253969708351,0,2015,1,Wochentag
