,Datum,Weizenbrot,Mischbrot,Vollkornbrot,Stangenbrote,Spezialbrot,Brötchen,Süsse_Brötchen,Herzhafte_Brötchen,KonditoreiBlech,Stückgebäck,Blechkuchen,Weihnachtsartikel,Gesamt,Wochentag,Jahr,Monat,Wochenende
0,2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2015,1,Wochentag
1,2015-01-02,136.21287978034098,60.101108899234,105.532665043349,94.69350269971409,31.7147359485449,417.486330645093,92.2294631768869,84.36315160950629,89.21775713586528,348.957512117041,67.2738115776327,0.0,845.741223016276,4,2015,1,Wochentag
2,2015-01-03,86.61273834705841,56.997327890695104,122.02978847608601,70.57083099235899,28.8775464904988,565.906154246555,113.65205555764999,86.7768032349172,126.642524153911,223.230036129674,50.2759146279662,0.0,930.9943864432523,5,2015,1,Wochenende
3,2015-01-04,0.0,56.24027562690829,103.763695234588,28.0755810050825,36.6195992729887,998.115917782013,247.416366089888,143.844307424865,255.846581142022,371.509104779431,145.089902740752,0.0,1222.8150689215804,6,2015,1,Wochenende
4,2015-01-05,137.294270565312,95.70311422141751,184.196463316172,69.9760955800261,10.880188429633698,385.71696095130096,69.5290946805013,117.984071107216,103.207991298696,274.69537107517505,64.8074243831889,0.0,883.7670930638621,0,2015,1,Wochentag
5,2015-01-06,108.51474753541099,112.40616374800301,164.94678802739202,74.7488766469092,3.78948250671362,371.927911539844,56.4328050971955,86.0576090317343,104.325271326218,252.67027756738898,67.2424455651047,0.0,836.3339700042728,1,2015,1,Wochentag
6,2015-01-07,128.456626515791,71.11075055023271,133.803855305983,81.32367736995279,29.1682778529322,337.906597233412,74.4279578772004,92.8198172018105,83.0887647377356,309.665637205983,81.4257321120131,0.0,781.7697848283037,2,2015,1,Wochentag
7,2015-01-08,130.779543671198,111.62266166156799,186.845961782989,50.0787168978558,27.2758762005591,377.071080330553,75.3733357817053,104.50051507076799,126.42416136890449,340.852725243795,84.1620030286112,0.0,883.6738405447229,3,2015,1,Wochentag
8,2015-01-09,100.87550551652001,37.252558767031495,107.095400030642,49.9732397711753,0.0,327.13922301141497,59.876746031999595,97.6590763025633,149.3338881806871,280.82088538193,103.45610233571699,0.0,622.3359270967837,4,2015,1,Wochentag
9,2015-01-10,113.75182694040501,54.0119970366701,82.43895496674129,102.82194512024999,25.6292177011005,598.4235490035579,141.650558578235,105.06884070893899,136.309866254163,262.138497411662,83.11763981797209,0.0,977.0774907687248,5,2015,1,Wochenende
10,2015-01-11,0.0,69.9084434072139,102.344223484263,58.4498270846513,24.446913449365898,1070.84428583872,304.578252517394,127.813763193295,293.581173779129,334.390928261092,187.640945451218,0.0,1325.993693264214,6,2015,1,Wochenende
11,2015-01-12,104.82769868916401,46.7292686010165,163.159557964782,53.3427879736926,11.9519250703232,317.47648802968,60.5953970662815,71.1657163135725,92.27112792478991,265.47515754145803,74.8715790994376,0.0,697.4877263286584,0,2015,1,Wochentag
12,2015-01-13,114.95502394183701,65.08897786989161,102.6679703296,44.1456054885808,23.2378317877986,326.56796602767,48.56348202012771,76.428414431273,95.79221666618228,270.59266903914,71.6685543103264,0.0,676.663375445378,1,2015,1,Wochentag
13,2015-01-14,110.836350326353,51.1759023736687,118.61470010488001,70.10277676340239,26.6760556108437,302.491399535681,46.4975379973205,68.45398200547889,107.26257310225401,327.985844966269,88.930268470163,0.0,679.8971847148289,2,2015,1,Wochentag
14,2015-01-15,133.830047712423,64.9828128852054,140.469892964506,37.6723150057011,29.198700430637103,379.47479970207496,89.5141381447362,88.9485532952699,112.12076828580099,380.932806290615,104.534341809331,0.0,785.6285687005476,3,2015,1,Wochentag
15,2015-01-16,110.404234569915,61.1638559583698,130.278099271842,70.0393886015186,25.6552104050221,315.503341435609,61.6182301395276,94.22424701908591,117.413321977092,345.84988014188303,117.724498284585,0.0,713.0441302422764,4,2015,1,Wochentag
