Datum,Weizenbrot,Mischbrot,Vollkornbrot,Stangenbrote,Spezialbrot,Brötchen,Süsse_Brötchen,Herzhafte_Brötchen,KonditoreiBlech,Stückgebäck,Blechkuchen,Weihnachtsartikel,Gesamt,Wochentag,Jahr,Monat,Wochenende
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2015,1,Wochentag
2015-01-02,88.02374995976558,84.63319036885541,115.15762109045299,58.999278618245704,66.6876517194407,505.565568778767,235.59744327259102,87.75901322433029,66.3330829881218,249.33119342821098,36.97280092152,113.34309535765499,919.0670605355274,4,2015,1,Wochentag
2015-01-03,78.2662158926818,77.21342992718091,116.124551914392,54.122405747768795,70.3035159968787,514.381142255829,223.241951868287,86.99190631297009,47.2998560962555,196.438985497569,52.6027660154658,109.207362868062,910.4112617347312,5,2015,1,Wochenende
2015-01-04,0.0,89.17200291529329,89.7021330581357,32.8803691261029,0.0,643.952028913357,281.550764521823,76.1099024320428,193.858932831113,231.631498890377,108.559539600133,124.08961270690399,855.7065340128889,6,2015,1,Wochenende
2015-01-05,86.40422440921459,69.4285599569848,151.66378948260902,48.803531433566896,0.0,327.701176646787,193.441523523049,108.82598286777001,65.9986779173745,234.394776984308,0.0,102.294044400361,684.0012819291624,0,2015,1,Wochentag
2015-01-06,83.6246877654453,56.745185532288,129.928682439887,31.0688557783844,0.0,316.310219909386,159.838121011787,103.72948747069,59.1651505326385,178.31855985233298,44.629063234467296,99.9258868554899,617.6776314253907,1,2015,1,Wochentag
2015-01-07,61.0526173030332,67.9850124358394,118.176164768201,13.253353108096302,0.0,295.845037539163,169.81073988834498,102.69004741098301,40.2978560674971,203.846388772431,45.45274317295589,0.0,556.3121851543328,2,2015,1,Wochentag
2015-01-08,79.82478380367209,57.94934767877189,91.97078846075671,68.0480717566173,0.0,287.790010047553,144.630287134407,86.0913924069653,57.6015071338164,170.361332668946,51.965896131300894,0.0,585.583001747371,3,2015,1,Wochentag
2015-01-09,81.83717505101629,86.05965688373979,104.70471046546899,18.964155131775,0.0,299.47963387107995,169.054984879557,68.3937656273783,54.501352036399204,156.753337436989,57.8032947705005,0.0,591.04533140308,4,2015,1,Wochentag
2015-01-10,64.6737066320128,50.0149988360307,72.9707394143832,53.6188457538728,70.1577218964831,359.076599283573,192.614478224309,69.57940723253179,73.5165546174528,190.755929449138,88.6284883702428,0.0,670.5126118163555,5,2015,1,Wochenende
2015-01-11,0.0,65.6067968264825,82.84745672953841,37.4223018850086,92.1487701506342,564.922075327594,233.410402325488,59.7131312535332,228.19144795301338,171.337440703525,138.29258465754998,0.0,842.9474009192577,6,2015,1,Wochenende
2015-01-12,64.9536931767253,70.28875978702371,105.33884544270398,43.440743782903496,0.0,248.29768303763902,148.094754011919,76.23010350606249,46.6993046611638,143.66367837324898,28.088837303491502,0.0,532.3197252269955,0,2015,1,Wochentag
2015-01-13,89.2134060917172,49.9703549709165,89.1171738938114,45.7959369780098,0.0,270.955755182734,146.139367204532,80.3648748012931,42.628797544211395,174.32939357829102,53.0024366083109,0.0,545.0526271171889,1,2015,1,Wochentag
2015-01-14,88.3196850281646,39.9871149435893,78.5068326938013,24.1062821343425,0.0,267.397130403907,173.30879369359297,61.1311440798948,57.5194212391942,167.046432677097,31.903633514050004,0.0,498.3170452038047,2,2015,1,Wochentag
2015-01-15,78.7079680544296,78.9572027176445,106.388822158542,37.201678786125605,0.0,253.94558048000198,160.76201811166598,61.2776838068096,57.288364926086,184.25458875656102,31.9519597899619,0.0,555.2012521967437,3,2015,1,Wochentag
2015-01-16,82.841189103587,55.8504935739556,110.638750312422,55.65242114372111,57.864430833766,334.594842569788,162.958302854112,92.7070339607271,47.757376729035904,222.677045089189,70.2082134731252,0.0,697.4421275372397,4,2015,1,Wochentag
2015-01-17,61.530646691117404,58.358417455567896,97.6268893183469,42.810368412101,0.0,463.457041267276,179.513432543541,101.292618270679,178.79786456335498,287.013656707343,50.3412482409929,0.0,723.7833631444091,5,2015,1,Wochenende
2015-01-18,0.0,51.8781417699258,89.8788628347473,0.0,67.5207800075053,598.401472178045,259.946399340668,54.672220891714794,326.08216435766724,164.42989558668302,128.67900995084102,0.0,807.6792567902233,6,2015,1,Wochenende
2015-01-19,88.24787985889222,81.8416537669249,115.67559166850799,55.75310742809529,0.0,308.055462772316,178.357670843432,85.697363021995,65.065928928972,165.80513309161,71.4092615078569,0.0,649.5736954947364,0,2015,1,Wochentag
2015-01-20,89.15450564044208,68.521310006669,107.31248297118499,37.664340595896,0.0,292.989257162844,154.295232701635,75.0703190714636,36.7304468546403,202.369266289045,87.1414097219501,0.0,595.6418963770361,1,2015,1,Wochentag
2015-01-21,69.9495745048869,69.5423524412675,126.774642391698,41.8382044811725,0.0,268.912801258171,162.340976839941,91.0799199044487,37.048242629237706,190.002278108919,73.8885554733686,0.0,577.0175750771959,2,2015,1,Wochentag
2015-01-22,77.6624565242313,55.866460622663205,102.48093318243001,62.829468554857904,0.0,280.453761855619,156.869595781927,69.8107425091532,68.188940877516,236.90630356891103,54.463759063377104,0.0,579.2930807398014,3,2015,1,Wochentag
2015-01-23,71.9212580169765,83.02705400149979,86.9339890891861,59.6330942161492,0.0,273.268026726394,152.03842975843799,73.3937157877443,58.959952770033105,202.542989381152,61.06047733668571,0.0,574.7834220502057,4,2015,1,Wochentag
