,Model,Label,Baseline,MAPE,Group,Cake
1,SARIMAX,KonditoreiBlech,22.534191,16.91199,0,1
2,SARIMAX,Stückgebäck,20.410318,22.881809,0,1
3,PROPHET,Blechkuchen,30.168072,26.35964,0,1
4,PROPHET,Weihnachtsartikel,20.465365,16.308981,0,0
5,SARIMAX,Herzhafte_Brötchen,18.341505,16.793494,0,0
6,SARIMAX,Cakes,17.622065,16.981459,1,1
