,Model,Label,MAE,MAPE
1,Random_Forest-Advanced,Süsse Brötchen,22.170842824601365,10.802428570409505
2,Random_Forest-Advanced,Herzhafte_Brötchen,30.849658314350798,26.977482926515762
3,Random_Forest-Advanced_year,Brötchen,59.90432801822323,14.757452260750911
4,Random_Forest-Advanced_year,Süsse Brötchen,23.248291571753985,11.243179379754483
5,Random_Forest-Advanced_inclGesamt,Brötchen,56.783599088838265,13.682034508010846
6,Random_Forest-Advanced_Gesamt,Süsse Brötchen,22.403189066059227,10.93620318917361
7,Random_Forest-Advanced_Closedrepl,Brötchen,67.50341685649202,14.099044091167364
8,Random_Forest-Advanced_Closedrepl,Süsse Brötchen,27.01138952164009,11.132134685220182
9,Random_Forest-Advanced,Herzhafte_Brötchen,30.849658314350798,26.977482926515762
